"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.670120941E2,6.503337479E1,2.544495604E1,7.464174428E0,1.360000014E0,3.371000061E2,3.790092468E0,2.500000000E0
1.680103477E2,6.503338561E1,2.544494406E1,7.088375573E0,1.299999952E0,3.387000122E2,3.790092468E0,2.500000000E0
1.690101076E2,6.503339723E1,2.544493275E1,6.635977336E0,1.450000048E0,3.397000122E2,3.790092468E0,2.500000000E0
1.700101054E2,6.503340886E1,2.544492057E1,6.604843666E0,1.470000029E0,3.387999878E2,3.790092468E0,2.500000000E0
1.710100029E2,6.503342029E1,2.544490928E1,6.151163769E0,1.340000033E0,3.402999878E2,3.790092468E0,2.500000000E0
1.720098709E2,6.503343147E1,2.544489737E1,6.167454619E0,1.440000057E0,3.397000122E2,3.790092468E0,2.500000000E0
1.730073729E2,6.503344285E1,2.544488678E1,5.888396385E0,1.370000005E0,3.418999939E2,3.790092468E0,2.500000000E0
1.739991535E2,6.503345359E1,2.544487590E1,5.751977541E0,1.269999981E0,3.412000122E2,3.790092468E0,2.500000000E0
1.749992038E2,6.503346545E1,2.544486317E1,6.166217264E0,1.549999952E0,3.395000000E2,3.790092468E0,2.500000000E0
1.759997851E2,6.503347689E1,2.544485207E1,5.627149195E0,1.210000038E0,3.376000061E2,3.790092468E0,2.500000000E0
1.769944011E2,6.503348770E1,2.544483984E1,5.111030496E0,1.450000048E0,3.362999878E2,3.790092468E0,2.500000000E0
1.780061303E2,6.503350000E1,2.544482726E1,5.046632360E0,1.549999952E0,3.381000061E2,3.790092468E0,2.500000000E0
1.789996944E2,6.503351258E1,2.544481486E1,4.519221432E0,1.470000029E0,3.373999939E2,3.790092468E0,2.500000000E0
1.800052530E2,6.503352551E1,2.544480285E1,4.148243504E0,1.529999971E0,3.402999878E2,3.790092468E0,2.500000000E0
1.810060520E2,6.503353805E1,2.544479063E1,3.475324795E0,1.480000019E0,3.386000061E2,3.790092468E0,2.500000000E0
1.820071402E2,6.503355011E1,2.544477847E1,2.925575229E0,1.480000019E0,3.377000122E2,3.790092468E0,2.500000000E0
1.830115459E2,6.503356178E1,2.544476719E1,2.781160369E0,1.419999957E0,3.391000061E2,3.790092468E0,2.500000000E0
1.840119631E2,6.503357304E1,2.544475711E1,2.539211601E0,1.429999948E0,3.410000000E2,3.790092468E0,2.500000000E0
1.850116332E2,6.503358456E1,2.544474672E1,2.358358892E0,1.389999986E0,3.405000000E2,3.790092468E0,2.500000000E0
1.859955616E2,6.503359606E1,2.544473481E1,2.164505568E0,1.500000000E0,3.377000122E2,3.790092468E0,2.500000000E0
1.870036792E2,6.503360823E1,2.544472158E1,1.778330081E0,1.539999962E0,3.361000061E2,3.790092468E0,2.500000000E0
1.880084789E2,6.503361941E1,2.544470867E1,1.252262440E0,1.299999952E0,3.362000122E2,3.790092468E0,2.500000000E0
1.890000575E2,6.503362958E1,2.544469779E1,5.945425526E-1,1.169999957E0,3.401000061E2,3.790092468E0,2.500000000E0
1.899947622E2,6.503363898E1,2.544468812E1,2.447454443E-1,1.139999986E0,3.401000061E2,3.790092468E0,2.500000000E0
1.910048452E2,6.503364961E1,2.544467641E1,3.739515678E-1,1.580000043E0,3.366000061E2,3.790092468E0,2.500000000E0
1.920061349E2,6.503366075E1,2.544466260E1,3.172175335E-2,1.399999976E0,3.346000061E2,3.790092468E0,2.500000000E0
1.929978273E2,6.503367179E1,2.544464888E1,-1.992409234E-1,1.490000010E0,3.342999878E2,3.790092468E0,2.500000000E0
1.940069247E2,6.503368313E1,2.544463463E1,-2.024815997E-1,1.460000038E0,3.347999878E2,3.790092468E0,2.500000000E0
1.950060732E2,6.503369433E1,2.544462258E1,-3.223602087E-1,1.389999986E0,3.365000000E2,3.790092468E0,2.500000000E0
1.959974431E2,6.503370238E1,2.544461339E1,-6.761240191E-1,8.399999738E-1,3.365000000E2,3.790092468E0,2.500000000E0
1.970029945E2,6.503371022E1,2.544460380E1,-7.569385621E-1,1.139999986E0,3.365000000E2,3.790092468E0,2.500000000E0
1.980081997E2,6.503372157E1,2.544459113E1,-2.706771501E-1,1.679999948E0,3.397000122E2,3.790092468E0,2.500000000E0
1.989995179E2,6.503373429E1,2.544457813E1,-2.245342663E-2,1.399999976E0,3.385000000E2,3.790092468E0,2.500000000E0
1.999952405E2,6.503374775E1,2.544456431E1,1.042489308E-1,1.629999995E0,3.386000061E2,3.790092468E0,2.500000000E0
2.009992402E2,6.503376143E1,2.544454950E1,1.497743539E-1,1.409999967E0,3.380000000E2,3.790092468E0,2.500000000E0
2.020031622E2,6.503377474E1,2.544453608E1,2.208127438E-1,1.490000010E0,3.392000122E2,3.790092468E0,2.500000000E0
2.030082080E2,6.503378836E1,2.544452299E1,5.466728157E-1,1.480000019E0,3.392000122E2,3.790092468E0,2.500000000E0
2.039969561E2,6.503380096E1,2.544450927E1,7.472891000E-1,1.370000005E0,3.377000122E2,3.790092468E0,2.500000000E0
2.049978896E2,6.503381357E1,2.544449609E1,1.026945955E0,1.490000010E0,3.371000061E2,3.790092468E0,2.500000000E0
2.059984830E2,6.503382671E1,2.544448272E1,9.890366628E-1,1.500000000E0,3.375000000E2,3.790092468E0,2.500000000E0
2.070014149E2,6.503384005E1,2.544447058E1,1.309953083E0,1.450000048E0,3.401000061E2,3.790092468E0,2.500000000E0
2.079969874E2,6.503385241E1,2.544445968E1,1.041697642E0,1.360000014E0,3.382999878E2,3.790092468E0,2.500000000E0
2.090034523E2,6.503386414E1,2.544444832E1,1.090703156E0,1.360000014E0,3.372000122E2,3.790092468E0,2.500000000E0
2.100091401E2,6.503387660E1,2.544443500E1,1.079649608E0,1.559999943E0,3.360000000E2,3.790092468E0,2.500000000E0
2.110106220E2,6.503388974E1,2.544442234E1,1.359062155E0,1.450000048E0,3.382000122E2,3.790092468E0,2.500000000E0
2.120130085E2,6.503390273E1,2.544440986E1,1.340684250E0,1.529999971E0,3.400000000E2,3.790092468E0,2.500000000E0
2.130141644E2,6.503391544E1,2.544439911E1,1.123759248E0,1.350000024E0,3.397999878E2,3.790092468E0,2.500000000E0
2.139967437E2,6.503392814E1,2.544438810E1,1.166538816E0,1.509999990E0,3.382000122E2,3.790092468E0,2.500000000E0
2.150017470E2,6.503394113E1,2.544437674E1,9.008465569E-1,1.480000019E0,3.378999939E2,3.790092468E0,2.500000000E0
2.160048070E2,6.503395378E1,2.544436554E1,8.124615770E-1,1.389999986E0,3.371000061E2,3.790092468E0,2.500000000E0
2.170055830E2,6.503396615E1,2.544435545E1,7.494063979E-1,1.399999976E0,3.381000061E2,3.790092468E0,2.500000000E0
2.180034924E2,6.503397970E1,2.544434482E1,9.242047008E-1,1.590000033E0,3.385000000E2,3.790092468E0,2.500000000E0
2.190039981E2,6.503399335E1,2.544433264E1,1.061466204E0,1.460000038E0,3.387999878E2,3.790092468E0,2.500000000E0
2.200109124E2,6.503400596E1,2.544432236E1,9.273049542E-1,1.389999986E0,3.390000000E2,3.790092468E0,2.500000000E0
2.210072280E2,6.503401929E1,2.544431024E1,1.130057314E0,1.620000005E0,3.368999939E2,3.790092468E0,2.500000000E0
2.219959046E2,6.503403322E1,2.544429809E1,1.236618023E0,1.500000000E0,3.362000122E2,3.790092468E0,2.500000000E0
2.230048808E2,6.503404640E1,2.544428635E1,1.040871941E0,1.419999957E0,3.373999939E2,3.790092468E0,2.500000000E0
